,Gross domestic product 2023,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
CHI,148,,Channel Islands," 11,228 ",
MRT,149,,Mauritania," 10,453 ",
XKX,150,,Kosovo," 10,438 ",
NCL,151,,New Caledonia," 9,623 ",
TGO,152,,Togo," 9,171 ",
SYR,153,,Syrian Arab Republic," 8,980 ",
MCO,154,,Monaco," 8,784 ",
IMN,155,,Isle of Man," 7,931 ",
BMU,156,,Bermuda," 7,828 ",
MNE,157,,Montenegro," 7,405 ",
LIE,158,,Liechtenstein," 7,365 ",
GUM,159,,Guam," 6,910 ",
CYM,160,,Cayman Islands," 6,601 ",
MDV,161,,Maldives," 6,600 ",
BRB,162,,Barbados," 6,394 ",
PYF,163,,French Polynesia," 5,815 ",
FJI,164,,Fiji," 5,495 ",
SWZ,165,,Eswatini," 4,598 ",
VIR,166,,Virgin Islands (U.S.)," 4,444 ",
LBR,167,,Liberia," 4,332 ",
DJI,168,,Djibouti," 4,099 ",
SLE,169,,Sierra Leone," 3,810 ",
SUR,170,,Suriname," 3,782 ",
AND,171,,Andorra," 3,728 ",
FRO,172,,Faroe Islands," 3,556 ",
ABW,173,,Aruba," 3,545 ",
BLZ,174,,Belize," 3,282 ",
GRL,175,,Greenland," 3,236 ",
CUW,176,,Curaçao," 3,074 ",
BTN,177,,Bhutan," 2,898 ",
BDI,178,,Burundi," 2,642 ",
CPV,179,,Cabo Verde," 2,587 ",
CAF,180,,Central African Republic," 2,555 ",
LCA,181,,St. Lucia," 2,520 ",
GMB,182,,"Gambia, The"," 2,340 ",
TLS,183,,Timor-Leste," 2,243 ",
SYC,184,,Seychelles," 2,141 ",
LSO,185,,Lesotho," 2,046 ",
ATG,186,,Antigua and Barbuda," 2,033 ",
GNB,187,,Guinea-Bissau," 1,966 ",
SMR,188,,San Marino," 1,855 ",
SLB,189,,Solomon Islands," 1,631 ",
SXM,190,,Sint Maarten (Dutch part)," 1,623 ",
TCA,191,,Turks and Caicos Islands," 1,402 ",
COM,192,,Comoros," 1,352 ",
GRD,193,,Grenada," 1,320 ",
VUT,194,,Vanuatu," 1,126 ",
KNA,195,,St. Kitts and Nevis," 1,077 ",
VCT,196,,St. Vincent and the Grenadines," 1,066 ",
WSM,197,,Samoa, 934 ,
ASM,198,,American Samoa, 871 ,
DMA,199,,Dominica, 654 ,
MAF,200,,St. Martin (French part), 649 ,
STP,201,,São Tomé and Principe, 603 ,
TON,202,,Tonga, 500 ,
FSM,203,,"Micronesia, Fed. Sts.", 460 ,
MHL,204,,Marshall Islands, 284 ,
KIR,205,,Kiribati, 279 ,
PLW,206,,Palau, 263 ,
NRU,207,,Nauru, 154 ,
TUV,208,,Tuvalu, 62 ,
VGB,,,British Virgin Islands, -   ,
CUB,,,Cuba, -   ,
ERI,,,Eritrea, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
MNP,,,Northern Mariana Islands, -   ,
SSD,,,South Sudan, -   ,
VEN,,,"Venezuela, RB", -   ,
YEM,,,"Yemen, Rep.", -   ,
,,,,,
,,,,,
,,,,,
WLD,,,World," 105,435,040 ",
,,,,#N/A,
,,,,,
EAS,,,East Asia & Pacific," 30,775,659 ",
ECS,,,Europe & Central Asia," 27,240,629 ",
LCN,,,Latin America & Caribbean," 7,094,330 ",
MEA,,,Middle East & North Africa," 4,287,684 ",
NAC,,,North America," 29,509,296 ",
SAS,,,South Asia," 4,475,568 ",
SSF,,,Sub-Saharan Africa," 2,032,749 ",
LIC,,,Low income," 646,798 ",
LMC,,,Lower middle income," 7,384,750 ",
